Team,OFF_G,OFF_MP,OFF_FG,OFF_FGA,OFF_FG%,OFF_3P,OFF_3PA,OFF_3P%,OFF_2P,OFF_2PA,OFF_2P%,OFF_FT,OFF_FTA,OFF_FT%,OFF_ORB,OFF_DRB,OFF_TRB,OFF_AST,OFF_STL,OFF_BLK,OFF_TOV,OFF_PF,OFF_PTS,DEF_G,DEF_MP,DEF_FG,DEF_FGA,DEF_FG%,DEF_3P,DEF_3PA,DEF_3P%,DEF_2P,DEF_2PA,DEF_2P%,DEF_FT,DEF_FTA,DEF_FT%,DEF_ORB,DEF_DRB,DEF_TRB,DEF_AST,DEF_STL,DEF_BLK,DEF_TOV,DEF_PF,DEF_PTS
Utah Jazz,54,241.9,40.1,87.4,0.459,13.9,39.2,0.355,26.2,48.3,0.543,18.2,23.0,0.792,12.2,33.3,45.5,25.6,6.7,4.9,17.6,19.4,112.3,54,241.9,43.6,91.5,0.477,14.5,40.6,0.358,29.1,50.9,0.572,17.6,23.1,0.765,11.2,31.4,42.6,28.7,9.7,6.4,11.9,20.1,119.4
Golden State Warriors,55,240.5,40.7,91.7,0.444,15.3,42.5,0.359,25.4,49.1,0.518,15.3,20.9,0.731,12.7,33.3,46.0,28.6,8.8,5.0,13.9,19.6,111.9,55,240.5,40.6,87.9,0.462,13.4,37.3,0.359,27.3,50.6,0.538,17.0,22.0,0.774,10.4,34.4,44.8,26.2,7.5,5.8,14.8,17.9,111.6
Minnesota Timberwolves,56,240.9,39.9,86.7,0.46,14.8,39.3,0.377,25.1,47.4,0.529,16.9,21.3,0.791,11.2,33.1,44.3,25.3,7.8,4.9,15.1,17.9,111.5,56,240.9,40.1,87.9,0.456,12.5,36.1,0.347,27.5,51.8,0.532,15.5,19.9,0.78,11.1,31.8,42.9,24.4,9.1,4.8,14.8,19.0,108.1
Los Angeles Clippers,54,241.4,40.8,86.6,0.471,12.2,33.8,0.361,28.6,52.8,0.542,17.1,21.5,0.797,10.6,33.6,44.2,24.7,9.7,4.5,15.9,18.4,111.0,54,241.4,39.3,86.1,0.456,13.3,38.0,0.35,26.0,48.1,0.54,16.2,21.1,0.768,10.1,32.3,42.4,25.2,9.3,4.5,15.6,17.8,108.0
New Orleans Pelicans,55,241.4,40.5,90.3,0.448,12.4,35.3,0.35,28.1,54.9,0.511,17.3,22.6,0.767,11.9,30.9,42.8,25.3,9.3,5.5,14.3,18.2,110.6,55,241.4,44.2,91.2,0.484,14.5,39.5,0.367,29.7,51.7,0.574,16.6,21.0,0.791,12.2,34.5,46.7,28.7,8.8,5.5,14.6,18.1,119.4
Toronto Raptors,55,241.4,41.7,89.5,0.466,11.4,32.8,0.349,30.3,56.7,0.534,15.7,21.0,0.748,11.6,32.2,43.8,28.7,7.8,4.6,15.5,21.6,110.6,55,241.4,41.4,88.2,0.469,13.5,37.9,0.357,27.9,50.4,0.553,20.2,26.2,0.772,11.8,32.9,44.6,26.2,9.3,5.7,14.5,18.4,116.5
Miami Heat,53,243.3,39.5,87.1,0.454,14.0,38.8,0.36,25.5,48.2,0.529,16.8,21.4,0.788,9.7,34.3,44.1,26.2,7.9,3.8,13.7,15.8,109.8,53,243.3,41.4,89.6,0.462,13.7,38.4,0.357,27.7,51.2,0.54,14.2,18.1,0.784,11.1,34.6,45.7,26.9,7.4,5.0,13.6,17.5,110.7
Portland Trail Blazers,55,240.5,40.0,88.7,0.451,12.3,35.8,0.344,27.7,52.9,0.522,16.9,21.8,0.776,12.5,31.1,43.6,23.3,7.9,5.5,16.0,19.4,109.2,55,240.5,41.8,87.9,0.476,12.9,35.4,0.365,28.9,52.5,0.551,18.3,23.0,0.796,12.0,32.2,44.2,26.5,9.5,5.5,15.0,19.1,114.8
Philadelphia 76ers,54,241.9,39.2,86.0,0.456,12.7,36.4,0.349,26.5,49.7,0.533,18.0,22.9,0.786,9.8,29.2,39.0,23.0,9.4,4.1,13.5,19.7,109.1,54,241.9,41.2,84.7,0.486,13.6,37.0,0.368,27.5,47.7,0.578,17.0,21.3,0.795,10.8,33.8,44.6,27.4,7.1,5.1,16.7,19.4,112.9
Washington Wizards,54,240.9,39.8,90.6,0.439,13.0,38.8,0.334,26.8,51.8,0.518,16.0,20.5,0.778,10.8,33.3,44.1,25.1,7.5,5.0,16.0,20.4,108.6,54,240.9,44.1,92.6,0.476,14.6,39.4,0.369,29.5,53.1,0.556,19.2,24.1,0.799,12.1,35.8,48.0,29.0,9.1,5.4,13.2,18.2,122.0
Charlotte Hornets,52,241.4,38.4,89.4,0.43,13.6,39.4,0.345,24.8,50.0,0.497,15.8,20.3,0.779,12.7,33.0,45.7,23.9,7.9,4.7,15.3,19.4,106.3,52,241.4,40.6,87.6,0.464,13.2,38.7,0.34,27.5,48.9,0.561,17.3,22.1,0.784,10.9,33.4,44.4,26.3,8.2,5.6,14.1,18.9,111.8
Brooklyn Nets,54,241.4,37.6,85.2,0.441,13.4,38.3,0.348,24.2,46.9,0.516,16.6,20.8,0.795,10.6,30.5,41.0,24.7,7.6,4.3,15.4,20.3,105.0,54,241.4,40.1,83.7,0.478,13.2,35.7,0.369,26.9,48.1,0.559,17.7,22.9,0.772,9.8,32.9,42.7,26.7,8.2,5.7,15.1,19.1,111.0
Orlando Magic,56,240.9,37.7,85.8,0.439,11.1,36.2,0.306,26.6,49.7,0.536,17.6,23.0,0.764,11.3,30.4,41.6,23.1,9.1,6.1,14.7,20.4,104.0,56,240.9,38.1,80.3,0.474,11.2,30.3,0.369,26.9,49.9,0.538,18.1,23.6,0.77,8.4,33.0,41.4,23.0,8.1,4.4,16.6,20.4,105.4
League Average,54,241.3,41.5,89.1,0.465,13.4,37.5,0.359,28.0,51.7,0.543,17.0,21.8,0.781,11.1,33.1,44.2,26.4,8.3,5.0,14.5,18.8,113.4,54,241.3,41.5,89.1,0.465,13.4,37.5,0.359,28.0,51.7,0.543,17.0,21.8,0.781,11.1,33.1,44.2,26.4,8.3,5.0,14.5,18.8,113.4
